2020-07-21 08:59:03.704 | DEBUG    | database:buyHint:300 - Trying to buy hint for challenge_id 5 and user notfie#4785
2020-07-21 08:59:03.783 | DEBUG    | database:createSolve:507 - AyKay#3420 solved FLAG{asdf}
2020-07-21 08:59:03.784 | DEBUG    | database:createSolve:413 - AyKay#3420 is solving for FLAG{ASDF}; part of challenge challenge 1.
2020-07-21 08:59:03.795 | DEBUG    | database:createSolve:493 - byoc reward of 50.0 sent to shyft#0760: AyKay#3420 of fourthteam submitted FLAG{ASDF}
2020-07-21 08:59:03.798 | DEBUG    | database:createSolve:507 - AyKay#3420 solved FLAG{ASDF}
2020-07-21 08:59:03.799 | DEBUG    | database:createSolve:413 - AyKay#3420 is solving for FLAG{qwer}; part of challenge challenge 2.
2020-07-21 08:59:03.803 | DEBUG    | database:createSolve:493 - byoc reward of 50.0 sent to notfie#4785: AyKay#3420 of fourthteam submitted FLAG{qwer}
2020-07-21 08:59:03.811 | DEBUG    | database:createSolve:507 - AyKay#3420 solved FLAG{qwer}
2020-07-21 08:59:03.813 | DEBUG    | database:createSolve:413 - AyKay#3420 is solving for FLAG{zxcv}; part of challenge __bonus__.
2020-07-21 08:59:03.818 | DEBUG    | database:createSolve:493 - byoc reward of 75.0 sent to Combaticus#8292: AyKay#3420 of fourthteam submitted FLAG{zxcv}
2020-07-21 08:59:03.822 | DEBUG    | database:createSolve:507 - AyKay#3420 solved FLAG{zxcv}
2020-07-21 08:59:03.824 | DEBUG    | database:createSolve:413 - AyKay#3420 is solving for FLAG{jkl}; part of challenge challenge 6.
2020-07-21 08:59:03.829 | DEBUG    | database:createSolve:493 - byoc reward of 50.0 sent to shyft#0760: AyKay#3420 of fourthteam submitted FLAG{jkl}
2020-07-21 08:59:03.832 | DEBUG    | database:createSolve:507 - AyKay#3420 solved FLAG{jkl}
